,City,Country,Lat,Lng,Hotel Name
107,mar del plata,ES,43.4,-4.01,Hotel Costa Esmeralda Suites
108,lavrentiya,RU,65.58,-171.0,
109,korla,CN,41.76,86.15,The Garden Hotel Korla
110,saint-philippe,RE,-21.36,55.77,Les Embruns Du Baril
111,vila velha,PT,42.03,-8.16,Hotel Castrum Villae
112,vaini,TO,-21.2,-175.2,Saoirses East
113,sembe,CG,1.65,14.58,
114,strelka,RU,58.07,93.03,"Gostinitsa ""Angara"""
115,mauriti,BR,-7.39,-38.77,HIJO BURITI HOTEL
116,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
117,kapaa,US,22.08,-159.32,Hilton Garden Inn Kauai Wailua Bay
118,dingle,PH,11.0,122.67,
119,nelson bay,NZ,-41.28,173.28,Trailways Hotel
120,severo-kurilsk,RU,50.68,156.12,Kak Doma
121,eureka,US,40.8,-124.16,Best Western Plus Humboldt Bay Inn
122,georgetown,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
123,iquique,CL,-20.22,-70.14,Holiday Inn Express Iquique
124,vangaindrano,MG,-23.35,47.6,Hotel Fanilo
125,ayan,RU,56.45,138.17,Gostinitsa
126,maceio,BR,-9.67,-35.74,Jatiúca Hotel & Resort
127,boa vista,CM,4.43,8.97,
128,marsh harbour,GB,53.65,-1.81,Clarion Cedar Court Huddersfield Hotel
129,nikolskoye,RU,59.7,30.79,
130,praia da vitoria,CV,14.92,-23.51,Hotel Oasis Atlantico Praiamar
131,voh,NC,-20.97,164.7,Le gîte du Koniambo
132,aguimes,ES,27.91,-15.45,Hotel Rural Casa de Los Camellos
133,cururupu,BR,-1.83,-44.87,Hotel Cururupu
134,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
135,kazachinskoye,RU,57.7,93.28,"Tayga, Gostinitsa"
136,takaka,NZ,-40.85,172.8,The Rocks Chalets
137,oranjestad,AW,12.52,-70.03,Manchebo Beach Resort & Spa
138,castro,BR,-24.79,-50.01,Urano Business Hotel
139,cotonou,BJ,6.37,2.42,Azalaï Hôtel de la Plage
140,necochea,AR,-38.55,-58.74,Complejo Villa Don Cata
141,axim,GH,4.87,-2.24,Lou Moon Resort - Eco Luxury
142,laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
143,mahebourg,MU,-20.41,57.7,Holiday Inn Mauritius Mon Tresor
144,arraial do cabo,BR,-22.84,-46.65,
145,meulaboh,ID,4.14,96.13,Hotel Meuligoe
146,buraydah,SA,26.33,43.98,فندق براند القصيم
147,neiafu,TO,-18.65,-173.98,Mystic Sands
148,sola,VU,-13.88,167.55,
149,gurupi,BR,-11.73,-49.07,Veneza Plaza Hotel
150,opuwo,,-18.06,13.84,Opuwo Country Lodge
151,petlad,IN,22.47,72.8,
152,sur,OM,22.57,59.53,Sur Plaza Hotel
153,san patricio,ML,13.3,-4.9,Hotel Santoro
154,pokosnoye,RU,55.53,101.05,Sberbank Rossii
155,kodiak,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
156,kloulklubed,PW,7.04,134.26,The Adventures Inn-Peleliu
157,sorland,NO,67.67,12.69,Bensvik Brygge
158,oktyabrskoye,RU,43.06,44.74,hotel diamond
159,gurlan,UZ,41.84,60.39,ÒJIQ OVUL
160,saskylakh,RU,71.92,114.08,
161,portland,US,45.52,-122.68,"The Duniway Portland, A Hilton Hotel"
162,saint-denis,FR,48.92,2.33,Wit Hotel
163,chuy,UY,-33.7,-53.46,Bertelli Chuí Hotel
164,grande prairie,DE,53.58,10.38,Grander Mühle
165,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
166,solnechnyy,RU,50.72,136.63,"Dom Otdykha ""Pastoral'"""
167,palmer,US,42.16,-72.33,The Trainmaster's Inn
168,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
169,diamond harbour,US,41.29,-88.25,Braidwood Motel
170,marrakesh,MA,31.63,-8.01,Almaha Marrakech
171,havoysund,NO,71.0,24.66,Havøysund Hotel & Rorbuer
172,provideniya,RU,64.38,-173.3,
173,port elizabeth,CD,-7.03,29.76,
174,upernavik,GL,72.79,-56.15,Café de Upernavik
175,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
176,puqi,CN,29.72,113.88,赤壁天伦皇朝国际酒店
177,caibarien,CU,22.52,-79.47,Hotel Brisas del Mar
178,caravelas,BR,-17.71,-39.25,Pousada Encanto Abrolhos
179,tonj,SS,7.27,28.68,
180,dzhebariki-khaya,RU,62.22,135.8,Sberbank Rossii
181,victor harbor,US,42.98,-77.41,Finger Lakes Hotel
182,elban,RU,50.1,136.51,
183,grindavik,IS,63.84,-22.43,The Retreat at Blue Lagoon Iceland
184,grand river south east,US,38.88,-109.5,
185,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
186,cruzeiro do sul,BR,-22.58,-44.96,Hotel Embaixador
187,ugoofaaru,MV,5.67,73.0,Ungoofaaru Inn
188,ishigaki,JP,24.34,124.16,InterContinental - ANA Ishigaki Resort
189,dhidhdhoo,MV,6.88,73.1,
190,sao joao del rei,IN,20.51,76.21,Hotel Sai Residency
191,sechura,PE,-5.56,-80.82,Hotel Amanecer - Sechura
192,rio gallegos,GR,38.3,21.78,PORTO RIO HOTEL & CASINO
193,vila franca do campo,PT,42.03,-8.16,Hotel Castrum Villae
194,chute-aux-outardes,CA,49.12,-68.4,Gîte du Château
195,buala,SB,-8.14,159.59,Ghaseali Island Resort
196,tezu,IN,27.92,96.17,Hotel Taboka
197,muros,ES,42.78,-9.06,
198,abha,SA,18.22,42.51,Abha Palace Hotel
199,puerto del rosario,ES,36.59,-6.23,Pestana
200,kushiro,JP,42.98,144.37,La Vista Kushirogawa
201,yellowknife,CA,62.46,-114.35,The Explorer Hotel
202,verkhnyaya sysert,RU,60.98,40.21,in Western
203,mabaruma,GY,8.2,-59.78,
204,mecca,SA,21.43,39.83,Hilton Makkah Convention Hotel
205,atambua,ID,-9.11,124.89,Hotel King Star
206,lusambo,CD,-4.97,23.45,
207,tura,IN,25.52,90.22,Hotel Polo Orchid
208,komsomolskiy,UZ,40.43,71.72,Diyor hotel
209,nouadhibou,MR,20.93,-17.03,HOTEL VALENCIA
210,palma,ES,39.57,2.65,Hotel Nixe Palace
211,mgachi,RU,51.05,142.27,
212,deputatskiy,RU,69.3,139.9,
213,abu ghosh,IN,24.6,72.7,Hotel Hilltone
214,acari,PE,-15.43,-74.62,HOSPEDAJE XIMENA
215,lagoa,PT,39.05,-27.98,Graciosa Resort - Biosphere Island Hotel
216,san cristobal,ML,13.3,-4.9,Hotel Santoro
217,manokwari,ID,-0.87,134.08,Swiss Belhotel Manokwari
218,takoradi,GH,4.88,-1.76,Best Western Plus Atlantic Hotel
219,irbeyskoye,RU,55.64,95.45,"Gostinitsa ""Agul"""
220,tubmanburg,LR,6.87,-10.82,
221,baljevac,BA,44.82,15.78,Villa Majestic Bihac
222,kavieng,PG,-2.57,150.8,Nusa Island Retreat
223,mys shmidta,RU,62.06,48.62,
224,connersville,US,39.64,-85.14,Woodridge Inn
225,bridlington,GB,54.08,-0.19,Manor Court Hotel & Azzurro Ristorante Italiano
226,oytal,KZ,42.91,73.27,Sanatorium Ak-Niet
227,springbok,ZA,-29.66,17.89,Springbok Inn by Country Hotels
228,saint-leu,RE,-21.15,55.28,Iloha Seaview Hotel
229,isabela,PH,6.71,121.97,Basilan Business Hotel
230,atherton,GB,53.52,-2.49,Hollins
231,covington,US,39.08,-84.51,Radisson Hotel Cincinnati Riverfront
232,sisimiut,GL,66.94,-53.67,Sømandshjemmet
233,tchibanga,GA,-2.85,11.03,
234,ancud,CL,-41.87,-73.82,Panamericana Hotel Ancud
235,consuegra,ES,39.46,-3.61,El Patio de los Jazmines
236,toora-khem,RU,52.47,96.11,
237,waipawa,NZ,-41.41,175.52,
238,aklavik,CA,68.22,-135.01,Sundog Inn
239,tazovskiy,RU,67.47,78.7,ЧУМ HOTEL
240,cayenne,GF,4.93,-52.33,Royal Amazonia
241,broome,US,42.25,-75.83,
242,vostok,RU,46.49,135.88,
243,zhangye,CN,38.93,100.45,Zhangye Lvzhou Holiday Inn
244,almaty,KZ,43.25,76.95,"The Ritz-Carlton, Almaty"
245,rafaela,AR,-31.25,-61.49,Amérian Rafaela Hotel
246,inta,RU,66.03,60.17,Hotel Severyanka
247,tiznit,MA,29.58,-9.5,
248,bambous virieux,MU,-20.26,57.41,Pearle Beach Resort & Spa
249,ordubad,AZ,38.91,46.02,
250,touros,BR,-5.2,-35.46,Hotel Vila Gale Touros
251,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
252,shubarkuduk,KZ,49.14,56.49,
253,hualmay,PE,-11.1,-77.61,Hotel Terrazas Del Mar - Huacho
254,lebu,CL,-37.62,-73.65,Hostal Plaza Lebu
255,saravan,AM,39.72,45.65,
256,buchanan,LR,5.88,-10.05,Hotel Buchanan Liberia
257,kyshtovka,RU,56.55,76.63,Uyutnaya Mini-Hotel
258,sabang,ID,5.89,95.32,Freddies Santai Sumurtiga
259,kahului,US,20.89,-156.47,Maui Beach Hotel
260,kyren,RU,51.68,102.14,Tunka-350
261,longyearbyen,SJ,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
262,inhambane,MZ,-23.86,35.38,Hotel Casa Do Capitão
263,jumla,NP,29.27,82.18,Shrestha Hotel
264,tessalit,ML,20.2,1.01,
265,ciuchici,RO,44.94,21.61,
266,norman wells,US,35.22,-97.44,Best Western Plus Norman
267,dongsheng,CN,39.82,109.98,Crowne Plaza Ordos
268,sibolga,ID,1.74,98.78,Prima Indah Hotel
269,santarem,BR,-2.44,-54.71,Hotel Santorini
270,poopo,BO,-18.37,-66.97,turistico HOTEL
271,vostochnyy,RU,55.82,37.87,ROS HOTEL Izmailovo
272,raudeberg,NO,61.99,5.14,Ulvesund FYR
273,biak,ID,-0.91,122.88,
274,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
275,vanavara,RU,60.34,102.28,Russia
276,kapit,MY,2.02,112.93,Hotel Meligai Kapit
277,vagur,FO,61.47,-6.81,BRIM B&B
278,ondjiva,AO,-17.07,15.73,Villa Okapale
279,yar-sale,RU,66.83,70.83,Yalemd
280,bergerac,FR,44.83,0.5,La Chartreuse du Bignac
281,fairbanks,US,64.84,-147.72,SpringHill Suites by Marriott Fairbanks
282,haines junction,US,59.23,-135.44,Aspen Suites Hotel Haines
283,bowen,AU,-20.02,148.23,Horseshoe Bay Resort
284,karaton,ID,-6.34,106.1,Pandeglang Raya Hotel
285,ketchikan,US,55.34,-131.65,Cape Fox Lodge
286,vrangel,RU,42.73,133.08,Gostinichnyy Kompleks Vostok
287,tamale,GH,9.4,-0.84,Jeyads Lodge
288,nome,US,64.5,-165.41,Noxapaga Suites
289,moussoro,TD,13.64,16.49,
290,giyani,ZA,-23.3,30.72,Letaba Boutique and Spa
291,birobidzhan,RU,48.8,132.95,Barbaris
292,ewo,CG,-0.87,14.82,Hotel Oka
293,princeton,US,25.54,-80.41,
294,gangtok,IN,27.33,88.62,"MAYFAIR Spa Resort & Casino, Gangtok"
295,kavaratti,IN,10.57,72.64,yaad Hotal
296,tottori,JP,35.5,134.23,Tottori Green Hotel Morris
297,qasigiannguit,GL,68.82,-51.19,
298,along,IN,28.17,94.77,Hotel West
299,robertsport,LR,6.75,-11.37,Nana's Lodge
300,shu,KZ,43.6,73.76,Hotel Ular
301,port hardy,CD,-7.03,29.76,
302,foso,GH,5.7,-1.29,DANNYHOMES
303,yining,CN,29.04,114.56,Xiujiang International Hotel
304,djibo,BF,14.1,-1.63,Hôtel Le Berger
305,mpongwe,ZM,-13.51,28.16,GCMF Office & Lodge
306,constitucion,CL,-35.33,-72.42,Reserva los Bollenes
307,pangnirtung,CA,66.15,-65.71,Pangnirtung Fjordview Bed and Breakfast
308,trat,TH,12.5,102.5,
309,galesong,ID,-5.32,119.37,
310,itarare,BR,-24.11,-49.33,Itararé Hotel
311,luanda,AO,-8.84,13.23,EPIC SANA Luanda
312,lengshuijiang,CN,27.69,111.43,Lengshuijiang Bonny International Hotel
313,verkhoyansk,RU,67.54,133.38,Sberbank Rossii
314,siderno,IT,38.28,16.3,Grand Hotel President
315,marsaxlokk,MT,35.84,14.54,Talbot & Bons Boutique Bed & Breakfast
316,omboue,GA,-1.57,9.26,Hôtel Georges Faustin Aurat
317,maine-soroa,NE,13.21,12.02,
318,mandurah,AU,-32.55,115.7,Seashells Mandurah
319,shitanjing,CN,39.23,106.34,工商银行
320,saldanha,ZA,-33.01,17.94,Protea Hotel by Marriott Saldanha Bay
321,kudahuvadhoo,MV,2.67,72.89,Riu Hotels Maldives
322,salym,RU,60.06,71.48,Gostinitsa V Salyme
323,khani,GE,41.96,42.96,
324,esperance,AU,-33.87,121.9,The Jetty Resort
325,kuusamo,FI,65.97,29.18,Holiday Club Kuusamo
326,nata,PA,8.33,-80.52,
327,beira,MZ,-19.84,34.84,Beira Terrace Hotel
328,pinheiro,BR,-2.52,-45.08,HOTEL RIO SOL EXPRESS
329,drumnadrochit,GB,57.33,-4.48,Loch Ness Lodge Hotel
330,smithers,CA,54.78,-127.17,Prestige Hudson Bay Lodge
331,torbay,CA,47.67,-52.73,
332,papara,BR,-3.98,-38.73,
333,anloga,GH,5.79,0.9,Bulls and Anchor Inn
334,santa maria,PH,17.49,120.43,
335,huaiyuan,CN,32.97,117.2,GreenTree Eastern Bengbu Huanyuan Bus Station Jingshan Townhall
336,alofi,NU,-19.06,-169.92,Taloa Heights
337,lasa,IT,46.62,10.7,Pension Feldgärtenhof
338,cutlerville,US,42.84,-85.66,
339,vaxjo,SE,56.88,14.81,TELEBORGS SLOTT
340,hay river,GB,52.07,-3.13,The Swan At Hay Hotel
341,sistranda,NO,63.73,8.83,Hotell Frøya
342,kincardine,GB,56.07,-3.72,Airth Castle Hotel
343,kapuskasing,CA,49.42,-82.43,Comfort Inn
344,talara,PE,-4.58,-81.27,Casa Andina Standard Talara
345,arman,RU,59.7,150.17,
346,tromso,NO,69.65,18.96,Clarion Hotel The Edge
347,valdivia,CL,-39.81,-73.25,Hotel Villa del Río
348,loikaw,MM,19.67,97.21,Gold Hotel
349,coruripe,BR,-10.13,-36.18,Pousada Pontal Sunset
350,eydhafushi,MV,5.1,73.07,Soneva Fushi
351,yarmouth,US,41.71,-70.23,Blue Rock Resort
352,karratha,AU,-20.74,116.85,Karratha International Hotel
353,genhe,CN,50.78,121.52,Blueberry Town Theme Hotel
354,kisangani,CD,0.52,25.2,Les Chalets
355,santa fe,PH,17.49,120.43,
356,tigre,AR,-34.43,-58.58,Hotel Villa Victoria de Tigre
357,vestmannaeyjar,IS,63.44,-20.27,Hotel Vestmannaeyjar
358,koplik,AL,42.21,19.44,Hotel Holiday
359,lorengau,PG,-2.02,147.27,Lorengau Harbourside Hotel
360,guerrero negro,MX,17.67,-100.0,
361,clarence town,US,42.98,-78.59,
362,rapar,IN,23.57,70.63,Government Guest House
363,ust-kuyga,RU,70.02,135.6,Sberbank Rossii
364,bathsheba,BB,13.22,-59.52,Atlantis Hotel
365,goundam,ML,16.41,-3.67,
366,mezen,RU,65.85,44.24,Sberbank Rossii
367,namibe,AO,-15.2,12.15,Hotel Chik Chik Namibe
368,pontianak,ID,-0.03,109.33,HARRIS Hotel Pontianak
369,chokurdakh,RU,70.63,147.92,Sberbank Rossii
370,natchez,US,31.56,-91.4,Natchez Grand Hotel
371,lokoja,NG,7.8,6.74,Fen Hotel
372,bagdarin,RU,54.43,113.6,Sberbank Rossii
373,port loko,CD,-7.03,29.76,
374,san miguel,ML,13.3,-4.9,Hotel Santoro
375,isangel,VU,-19.55,169.27,Quarumanu area
376,stramtura,RO,47.78,24.13,Casa Barsan
377,angoram,PG,-4.06,144.07,
378,nahrin,AF,36.06,69.13,
379,narsaq,GL,60.92,-46.05,Hotel Narsaq
380,nema,RU,57.51,50.5,Sberbank Rossii
381,teguldet,RU,57.31,88.17,Gostinitsa Kedr
382,vardo,NO,70.37,31.11,Vardø Hotel AS
383,dawlatabad,AF,36.41,64.91,
384,beringovskiy,RU,63.05,179.32,Beringgorski
385,bulolo,PG,-7.2,146.65,Pine Lodge Bulolo
386,petropavlovsk-kamchatskiy,RU,53.05,158.65,Bay House
387,yatou,CN,37.15,122.38,Vienna International Hotel
388,parrita,CR,9.52,-84.32,Clandestino Beach Resort
